ID,price_usd,surface_total,expenses
2179,515000.0,123,6591.0
10210,309000.0,111,3782.0
913,330000.0,100,0.0
7542,450000.0,200,0.0
1619,485000.0,211,6500.0
10307,198000.0,72,5559.0
5818,115000.0,50,0.0
9579,100000.0,50,592.0
7909,238000.0,84,0.0
9981,133000.0,40,0.0
3418,140000.0,72,1800.0
7568,319500.0,138,0.0
4061,350000.0,92,0.0
3865,130000.0,33,0.0
2238,220000.0,59,0.0
6998,235000.0,94,0.0
5940,93000.0,37,0.0
8253,120000.0,47,0.0
8760,120000.0,35,0.0
6937,107000.0,39,0.0
8620,129000.0,39,0.0
663,275000.0,50,0.0
7388,76000.0,36,1600.0
6297,112000.0,70,0.0
1096,388000.0,118,5000.0
2768,220000.0,62,0.0
5632,195000.0,85,0.0
8107,780000.0,178,0.0
10129,365000.0,180,0.0
2381,193000.0,47,4200.0
8346,483000.0,165,0.0
415,525000.0,300,0.0
3463,680000.0,200,0.0
7263,60000.0,27,0.0
8337,89000.0,33,2500.0
8768,128000.0,47,2800.0
7753,215000.0,107,3500.0
1887,139500.0,61,0.0
6252,289000.0,209,0.0
909,145000.0,50,0.0
140,115000.0,43,0.0
8691,200000.0,113,0.0
10510,84900.0,42,0.0
2660,133000.0,51,3000.0
3620,480000.0,168,10090.0
2707,220000.0,53,4000.0
5416,220000.0,98,0.0
2012,695000.0,141,21168.0
6436,130000.0,67,0.0
8365,105000.0,33,0.0
3598,350000.0,108,4130.0
8927,145000.0,55,0.0
1948,855000.0,244,17850.0
272,85000.0,47,0.0
1918,118000.0,39,1500.0
639,72000.0,30,500.0
9518,215000.0,85,4200.0
7865,320000.0,92,0.0
6366,71000.0,30,0.0
392,220000.0,54,3000.0
7166,139000.0,76,0.0
9236,135000.0,56,2700.0
7212,187000.0,90,0.0
2675,510000.0,186,14903.0
4590,198000.0,80,0.0
7977,160000.0,59,3259.0
1738,338000.0,180,0.0
5711,89000.0,39,0.0
3775,83000.0,30,0.0
2468,190000.0,68,0.0
8918,126500.0,4505,0.0
7327,260000.0,70,0.0
5545,215000.0,105,0.0
9687,125000.0,48,0.0
7362,100000.0,45,0.0
9291,205000.0,101,0.0
6099,98000.0,40,0.0
3747,400000.0,140,0.0
420,125000.0,45,1900.0
1491,269999.0,90,0.0
1855,155000.0,29,0.0
